IncLevel1	IncLevel2	IncLevelDifference
1.0,0.995	0.997,1.0	-0.001
1.0,0.908	1.0,1.0	-0.046
1.0,1.0	0.99,1.0	0.005
0.994,1.0	0.986,0.976	0.016
0.991,0.984	0.966,1.0	0.005
0.996,1.0	0.994,0.995	0.004
0.995,1.0	1.0,0.996	-0.0
0.107,0.033	0.0,0.042	0.049
1.0,0.998	1.0,1.0	-0.001
0.559,0.618	0.332,0.242	0.301
0.952,1.0	1.0,1.0	-0.024
0.991,1.0	0.98,0.98	0.016
0.463,1.0	0.333,0.2	0.465
0.993,1.0	1.0,1.0	-0.004
1.0,1.0	1.0,0.97	0.015
0.984,0.976	0.993,0.988	-0.01
1.0,1.0	0.984,1.0	0.008
1.0,1.0	0.986,0.971	0.022
1.0,1.0	0.991,1.0	0.004
0.0,0.0	0.2,NA	-0.2
0.958,0.994	0.973,1.0	-0.01
1.0,0.981	1.0,1.0	-0.01
0.945,1.0	1.0,0.887	0.029
0.947,1.0	1.0,0.918	0.014
0.764,0.885	0.0,1.0	0.325
0.82,1.0	0.808,1.0	0.006
0.333,1.0	1.0,0.0	0.166
0.89,1.0	1.0,0.669	0.111
0.994,1.0	1.0,1.0	-0.003
1.0,0.975	1.0,1.0	-0.012
0.998,1.0	1.0,1.0	-0.001
0.992,1.0	1.0,0.986	0.003
0.991,0.998	1.0,1.0	-0.006
1.0,1.0	0.994,0.991	0.008
1.0,0.996	1.0,1.0	-0.002
1.0,0.978	0.974,1.0	0.002
0.993,0.994	0.985,0.982	0.01
1.0,1.0	0.999,1.0	0.0
0.019,0.058	0.123,0.086	-0.066
0.119,0.107	0.235,0.185	-0.097
0.978,0.988	1.0,0.994	-0.014
0.957,0.976	1.0,0.989	-0.028
0.996,1.0	1.0,1.0	-0.002
0.997,1.0	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
1.0,1.0	1.0,0.939	0.03
1.0,1.0	0.978,1.0	0.011
0.996,0.999	0.996,1.0	-0.0
0.994,0.995	0.995,0.993	0.0
0.016,0.017	0.013,0.0	0.01
1.0,1.0	0.963,1.0	0.018
0.916,1.0	1.0,1.0	-0.042
0.003,0.001	0.003,0.002	-0.001
1.0,0.997	1.0,1.0	-0.002
1.0,0.993	1.0,1.0	-0.004
0.999,0.998	1.0,1.0	-0.002
0.999,1.0	1.0,1.0	-0.0
0.576,0.552	0.364,0.471	0.147
0.215,0.188	0.171,0.272	-0.02
0.185,0.196	0.206,0.236	-0.03
0.999,1.0	1.0,1.0	-0.0
1.0,0.999	1.0,1.0	-0.0
0.997,1.0	0.982,1.0	0.007
1.0,0.981	1.0,1.0	-0.01
1.0,0.988	1.0,1.0	-0.006
0.724,0.6	0.0,0.5	0.412
0.889,0.625	1.0,1.0	-0.243
0.983,1.0	1.0,1.0	-0.008
1.0,0.964	0.952,1.0	0.006
1.0,0.999	1.0,1.0	-0.0
1.0,0.949	1.0,1.0	-0.026
1.0,0.985	1.0,1.0	-0.008
0.962,0.882	1.0,0.944	-0.05
0.895,0.51	1.0,0.804	-0.2
0.494,0.405	0.314,0.334	0.126
0.998,1.0	1.0,1.0	-0.001
0.996,1.0	1.0,1.0	-0.002
1.0,1.0	0.995,1.0	0.002
1.0,1.0	0.956,1.0	0.022
0.669,0.694	0.802,0.771	-0.105
0.987,0.982	0.978,0.984	0.003
1.0,0.913	1.0,0.811	0.051
0.985,1.0	0.993,1.0	-0.004
0.991,1.0	1.0,1.0	-0.004
0.983,1.0	1.0,1.0	-0.008
0.987,1.0	1.0,1.0	-0.006
0.973,1.0	1.0,1.0	-0.014
1.0,1.0	0.965,0.976	0.03
0.963,0.982	0.851,0.916	0.089
1.0,0.997	1.0,1.0	-0.002
0.99,1.0	1.0,1.0	-0.005
0.971,1.0	0.99,0.982	-0.0
0.731,0.604	0.74,0.548	0.023
0.685,0.649	0.715,0.871	-0.126
0.331,0.457	0.488,0.805	-0.253
0.179,0.419	0.442,0.304	-0.074
1.0,0.983	1.0,1.0	-0.008
1.0,0.992	1.0,1.0	-0.004
1.0,0.99	1.0,1.0	-0.005
1.0,0.997	1.0,1.0	-0.002
0.017,0.019	0.0,0.0	0.018
1.0,0.925	0.864,0.937	0.062
0.878,1.0	1.0,0.75	0.064
1.0,0.999	1.0,1.0	-0.0
1.0,0.995	1.0,1.0	-0.002
0.941,0.944	0.967,0.99	-0.036
0.678,0.412	0.678,0.0	0.206
0.994,0.993	1.0,1.0	-0.006
0.992,0.991	1.0,1.0	-0.008
0.805,0.791	0.887,0.82	-0.055
0.996,1.0	1.0,1.0	-0.002
0.029,0.094	0.0,0.31	-0.093
1.0,1.0	1.0,0.982	0.009
0.99,1.0	1.0,1.0	-0.005
0.992,0.996	1.0,1.0	-0.006
1.0,1.0	1.0,1.0	0.0
0.953,1.0	1.0,1.0	-0.024
1.0,1.0	0.985,1.0	0.008
0.998,0.998	1.0,1.0	-0.002
0.12,0.119	0.169,0.148	-0.039
0.892,1.0	1.0,1.0	-0.054
0.976,1.0	1.0,1.0	-0.012
0.719,0.652	0.9,0.635	-0.082
0.998,0.989	0.995,0.981	0.006
0.996,0.993	0.978,0.973	0.019
1.0,0.968	1.0,1.0	-0.016
0.295,0.196	0.517,0.55	-0.288
1.0,0.993	1.0,1.0	-0.004
1.0,0.852	1.0,1.0	-0.074
0.962,0.761	0.879,1.0	-0.078
0.914,1.0	1.0,1.0	-0.043
0.895,1.0	1.0,1.0	-0.052
0.947,1.0	1.0,1.0	-0.026
0.907,1.0	1.0,1.0	-0.046
1.0,0.99	1.0,1.0	-0.005
1.0,1.0	0.875,1.0	0.062
0.999,1.0	1.0,1.0	-0.0
0.863,0.838	0.909,0.829	-0.018
1.0,1.0	1.0,0.957	0.022
0.953,0.963	0.967,1.0	-0.026
1.0,1.0	0.957,1.0	0.022
1.0,0.636	1.0,1.0	-0.182
0.874,0.949	1.0,0.917	-0.047
0.971,1.0	1.0,1.0	-0.014
0.989,1.0	1.0,1.0	-0.006
1.0,0.999	1.0,1.0	-0.0
0.962,0.948	0.979,1.0	-0.035
1.0,1.0	0.949,1.0	0.026
0.0,0.0	0.0,0.0	0.0
1.0,1.0	1.0,0.988	0.006
1.0,1.0	0.961,1.0	0.02
0.977,1.0	1.0,1.0	-0.012
0.352,0.345	0.32,0.525	-0.074
0.411,0.393	0.393,0.452	-0.02
0.524,0.529	0.518,0.69	-0.078
0.547,0.489	0.529,0.525	-0.009
1.0,0.986	1.0,1.0	-0.007
0.993,1.0	0.991,1.0	0.001
0.968,1.0	0.949,1.0	0.01
0.913,0.923	0.931,0.854	0.025
1.0,0.972	1.0,1.0	-0.014
1.0,0.918	0.846,1.0	0.036
0.959,0.981	0.965,0.969	0.003
0.989,0.997	0.994,0.995	-0.001
1.0,1.0	1.0,0.999	0.0
1.0,0.999	0.999,1.0	0.0
0.008,0.008	0.013,0.01	-0.003
1.0,1.0	1.0,1.0	0.0
0.048,0.043	0.011,0.04	0.02
0.986,1.0	0.974,1.0	0.006
1.0,1.0	0.999,1.0	0.0
0.997,1.0	1.0,1.0	-0.002
1.0,1.0	0.916,1.0	0.042
0.997,1.0	1.0,1.0	-0.002
0.97,1.0	0.98,1.0	-0.005
1.0,0.714	0.0,NA	0.857
0.456,0.544	0.613,0.468	-0.04
0.993,1.0	1.0,1.0	-0.004
0.993,1.0	1.0,1.0	-0.004
NA,0.0	0.099,1.0	-0.549
1.0,0.999	1.0,1.0	-0.0
1.0,0.984	1.0,1.0	-0.008
1.0,1.0	1.0,0.983	0.008
0.829,0.954	0.954,0.924	-0.048
0.013,0.0	0.004,0.006	0.001
1.0,1.0	1.0,0.982	0.009
0.303,0.452	0.216,0.168	0.185
1.0,0.99	1.0,1.0	-0.005
1.0,1.0	1.0,0.954	0.023
0.004,0.003	0.0,0.0	0.004
0.944,0.92	0.904,0.92	0.02
0.488,0.693	0.483,0.554	0.072
1.0,1.0	0.99,1.0	0.005
0.992,1.0	1.0,1.0	-0.004
1.0,0.984	1.0,1.0	-0.008
0.978,1.0	1.0,1.0	-0.011
0.967,0.992	0.967,0.985	0.004
0.996,1.0	0.995,1.0	0.0
1.0,0.995	1.0,1.0	-0.002
1.0,0.992	1.0,0.978	0.007
0.982,1.0	1.0,1.0	-0.009
0.119,0.123	0.062,0.093	0.043
0.981,1.0	1.0,1.0	-0.01
0.991,1.0	1.0,1.0	-0.004
0.879,0.858	0.925,0.921	-0.054
0.999,0.997	0.995,0.996	0.002
0.999,1.0	1.0,1.0	-0.0
1.0,0.997	1.0,1.0	-0.002
0.05,0.088	0.136,0.14	-0.069
1.0,1.0	1.0,0.987	0.006
0.998,1.0	1.0,1.0	-0.001
0.996,1.0	1.0,1.0	-0.002
1.0,1.0	1.0,0.996	0.002
0.873,0.873	0.68,1.0	0.033
1.0,1.0	1.0,0.995	0.002
0.923,1.0	1.0,1.0	-0.038
0.996,1.0	1.0,1.0	-0.002
1.0,0.979	1.0,1.0	-0.01
1.0,0.994	1.0,1.0	-0.003
1.0,1.0	0.997,1.0	0.002
1.0,0.39	1.0,NA	-0.305
1.0,1.0	0.0,1.0	0.5
0.981,0.984	1.0,1.0	-0.018
0.964,0.972	1.0,1.0	-0.032
0.998,1.0	0.998,1.0	0.0
0.999,1.0	0.999,1.0	0.0
1.0,0.995	1.0,1.0	-0.002
0.985,1.0	1.0,1.0	-0.008
0.261,0.26	0.17,0.168	0.091
0.953,1.0	0.984,0.941	0.014
0.986,1.0	1.0,1.0	-0.007
1.0,1.0	1.0,0.83	0.085
